MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
26.1,5.1,9.4,0.54,4.4,7.6,0.579,0.7,1.8,0.372,3.3,4.6,0.725,1.2,2.4,3.7,1.7,1,0.4,2,1.9,14.2,4.64,0.611,0.575,0.191,0.485,7.4,13.2,1.2,14.6,26.7,10,7.4,17.4,0.245
23.5,3.2,5,0.639,3.1,4.7,0.654,0.1,0.2,0,1.5,2.2,0.684,2.4,3.5,5.9,0.5,0.6,1.7,1,2.4,7.9,-1.72,0.66,0.648,0.049,0.436,14.4,4.3,6.8,14.4,16.1,9,8.8,17.8,0.226
26.3,5.4,8.8,0.608,5.4,8.8,0.608,0,0,0,4.3,6,0.713,2.7,5.8,8.5,0.8,0.5,2.2,3.1,2.8,15.1,1.05,0.643,0.608,0,0.685,21.2,8.1,5.8,20.9,28,9.2,3.1,12.3,0.226
27.6,5,11.9,0.415,2.8,6,0.468,2.2,6,0.362,2.2,3.1,0.717,1.5,3.4,4.9,1.2,1,1,1.4,2.1,14.3,5.22,0.533,0.506,0.499,0.26,11.6,8.9,3.1,9.7,26.2,6.8,9.6,16.4,0.179
33.1,6.1,13.5,0.45,4.8,9.9,0.49,1.2,3.6,0.342,5.1,6.4,0.803,0.9,3.8,4.7,5.3,1.5,0.2,2.2,1.8,18.5,-3.55,0.56,0.497,0.269,0.47,8.8,33.9,0.5,11.8,29.3,19.1,4.7,23.8,0.226
32.9,6.9,15.7,0.439,5,10.5,0.47,2,5.2,0.377,5.5,6.7,0.825,1.5,4.8,6.3,2.7,2.1,0.5,2.4,1.8,21.3,-5.41,0.563,0.501,0.33,0.423,11,20.1,1.5,11.3,32.4,13.9,6.6,20.5,0.224
24.7,2.5,6.1,0.409,1.5,3.1,0.497,0.9,3,0.316,1.1,1.6,0.726,0.9,2.5,3.4,3.1,2,0.3,2.1,2.8,7,4.55,0.516,0.486,0.487,0.26,10.1,21.5,0.9,23.9,21.2,2.3,5.9,8.2,0.128
31.4,4.3,10.2,0.416,1.9,4.5,0.42,2.4,5.7,0.413,3.2,3.8,0.837,0.5,2.6,3.1,5.1,1.3,0.1,1.9,2.1,14.1,5.22,0.585,0.532,0.559,0.375,6.1,38.6,0.1,13.7,24.2,10.6,5.4,16,0.17
31.8,7.2,15.5,0.462,4.9,9.1,0.542,2.2,6.4,0.346,6.8,8,0.841,0.9,3.5,4.5,1.7,1.7,0.4,2.9,2.1,23.3,-3.74,0.602,0.533,0.411,0.519,7.9,10.2,0.7,13.2,28.3,11.2,2.6,13.7,0.218
31,4.5,9,0.493,3,4.9,0.611,1.5,4.1,0.354,2.8,3.6,0.788,1.6,3.8,5.4,2.4,1.7,1,2.5,2.4,13.2,1.39,0.615,0.574,0.457,0.398,10.4,15.6,3.5,18.9,21.5,5.6,3.3,9,0.172
31.5,7.9,14.3,0.55,6,10.2,0.587,1.9,4.1,0.458,4.1,4.9,0.831,1.9,5.6,7.5,1.3,0.2,0.1,2.2,1.8,21.7,4.29,0.652,0.616,0.288,0.345,14.8,10.4,0.3,11.7,32.3,21.6,5.2,26.8,0.235
32.9,7.6,14.4,0.529,6.9,12.1,0.573,0.7,2.3,0.299,2.8,3.8,0.73,1.842602041,4.091326531,9.3,1.2,2.5,1.9,1.4,2.1,18.7,4.52,0.577,0.553,0.16,0.266,11.93196481,15.44281525,2.760703812,8,24.32961877,3,3,6,0.253
28.5,6.4,12.5,0.512,4.4,8,0.558,1.9,4.5,0.431,2.9,3.5,0.809,1.842602041,4.091326531,6.3,2.2,0.8,0.8,2.2,2.1,17.6,1.97,0.621,0.59,0.361,0.284,11.93196481,15.44281525,2.760703812,14.3,24.32961877,14.5,8.2,22.7,0.278
32.3,5.6,12.6,0.446,3.3,6.5,0.497,2.4,6.1,0.39,5,5.8,0.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,-2.21,0.606,0.54,0.481,0.458,8.1,24.3,0.6,13.4,28.6,14.2,3.4,17.6,0.209
24.8,3,7.1,0.421,1.4,2.9,0.48,1.6,4.2,0.38,1.6,1.9,0.821,0.4,2,2.4,2,0.5,0.3,1.5,1.2,9.2,4.95,0.571,0.533,0.588,0.272,5.9,18.1,1.6,15.6,20.1,5.1,3.8,8.9,0.138
23.5,4.1,7.9,0.52,4.1,7.7,0.526,0,0.2,0,2.1,3.6,0.577,2.5,5.2,7.7,0.5,0.6,2.7,1.5,3.1,10.3,-0.69,0.538,0.523,0.02,0.456,18.6,5.5,10.7,13.8,23.5,4.7,10,14.6,0.246
33.3,5.6,10.7,0.529,4.7,8.3,0.565,0.9,2.3,0.404,4.8,6.1,0.785,1.9,3.8,5.8,3.3,1.6,0.3,2.5,2.8,17,-3.26,0.628,0.574,0.22,0.575,11,22.3,0.7,15.7,25.8,12,5.1,17.1,0.217
24.3,3.9,8.6,0.45,3,5.8,0.516,0.9,2.8,0.313,2.4,3.2,0.767,1.8,3,4.8,0.9,0.9,1.9,1.5,1.8,11,4.6,0.547,0.501,0.322,0.373,12,9.6,8.5,12.9,26.5,5.6,5.1,10.7,0.186
