,Player,Draft_Yr,College,Career_PER,Position
257,Sean Williams,2007,Boston College,12.4,Interior
258,Lorenzen Wright,1996,University of Memphis,13.3,Interior
259,Rodney Carney,2006,University of Memphis,11.9,Perimeter
260,Felipe Lopez,1998,St. John's University,11.5,Perimeter
261,Nate Wolters,2013,South Dakota State University,11.3,Perimeter
262,Matt Harpring,1998,Georgia Institute of Technology,15.3,Perimeter
263,Joel Embiid,2014,University of Kansas,24.1,Interior
264,Tim Duncan,1997,Wake Forest University,24.2,Interior
265,Ike Diogu,2005,Arizona State University,15.6,Interior
266,Trajan Langdon,1999,Duke University,12.2,Perimeter
267,Mark Madsen,2000,Stanford University,8.1,Interior
268,Darius Miller,2012,University of Kentucky,8.5,Perimeter
269,Shammond Williams,1998,University of North Carolina,13.3,Perimeter
270,Brandon Roy,2006,University of Washington,20,Perimeter
271,CJ McCollum,2013,Lehigh University,17.3,Perimeter
272,Toney Douglas,2009,Florida State University,13.2,Perimeter
273,Landry Fields,2010,Stanford University,12.1,Perimeter
274,Nazr Mohammed,1998,University of Kentucky,15,Interior
275,Lonny Baxter,2002,University of Maryland,11.6,Interior
276,Orien Greene,2005,University of Louisiana at Lafayette,6.1,Perimeter
277,Danny Fortson,1997,University of Cincinnati,16.2,Interior
278,Roshown McLeod,1998,Duke University,10.1,Perimeter
279,Donte Greene,2008,Syracuse University,10,Perimeter
280,Travis Diener,2005,Marquette University,12.5,Perimeter
281,Blake Griffin,2009,University of Oklahoma,22.3,Interior
282,Kevin Martin,2004,Western Carolina University,17.7,Perimeter
283,Donnell Harvey,2000,University of Florida,12.5,Perimeter
284,James Ennis,2013,"California State University, Long Beach",11.6,Perimeter
285,Brian Cardinal,2000,Purdue University,12.7,Perimeter
286,Tyrus Thomas,2006,Louisiana State University,14.8,Interior
287,Calvin Booth,1999,Pennsylvania State University,12.4,Interior
288,LaMarcus Aldridge,2006,University of Texas at Austin,20.8,Interior
289,Doug McDermott,2014,Creighton University,10.6,Perimeter
290,Raymond Felton,2005,University of North Carolina,13.8,Perimeter
291,Dahntay Jones,2003,Duke University,9.5,Perimeter
292,Shawn Marion,1999,"University of Nevada, Las Vegas",18.8,Perimeter
293,Victor Oladipo,2013,Indiana University,16.8,Perimeter
294,Allen Crabbe,2013,University of California,11.2,Perimeter
295,Michael Dickerson,1998,University of Arizona,13.4,Perimeter
296,Wally Szczerbiak,1999,Miami University,16,Perimeter
297,Jimmy Butler,2011,Marquette University,20,Perimeter
298,Eddie Griffin,2001,Seton Hall University,14.3,Interior
299,Damian Lillard,2012,Weber State University,21.4,Perimeter
300,Tony Snell,2013,University of New Mexico,9,Perimeter
301,Byron Mullens,2009,Ohio State University,12.2,Interior
302,Larry Sanders,2010,Virginia Commonwealth University,15.4,Interior
303,Obinna Ekezie,1999,University of Maryland,11.2,Interior
304,Isaiah Thomas,2011,University of Washington,20.4,Perimeter
305,George Hill,2008,Indiana University-Purdue University Indianapolis,14.9,Perimeter
306,Draymond Green,2012,Michigan State University,15.4,Perimeter
307,Ben Gordon,2004,University of Connecticut,14.9,Perimeter
308,Greg Buckner,1998,Clemson University,10.7,Perimeter
309,K.J. McDaniels,2014,Clemson University,10.8,Perimeter
310,Hilton Armstrong,2006,University of Connecticut,9.9,Interior
311,Andre Drummond,2012,University of Connecticut,22,Interior
312,John Wall,2010,University of Kentucky,19.4,Perimeter
313,Jordan Clarkson,2014,University of Missouri,15.3,Perimeter
314,Hassan Whiteside,2010,Marshall University,24,Interior
315,Ruben Patterson,1998,University of Cincinnati,17.1,Perimeter
316,Steve Blake,2003,University of Maryland,11.1,Perimeter
317,Erick Dampier,1996,Mississippi State University,14.3,Interior
318,Mo Williams,2003,University of Alabama,15,Perimeter
319,Samuel Dalembert,2001,Seton Hall University,15.4,Interior
320,Caron Butler,2002,University of Connecticut,15,Perimeter
321,Jason Collins,2001,Stanford University,9.4,Interior
322,Archie Goodwin,2013,University of Kentucky,11.6,Perimeter
323,Ron Mercer,1997,University of Kentucky,12.5,Perimeter
324,Chris Singleton,2011,Florida State University,8.2,Perimeter
325,Marcus Smart,2014,Oklahoma State University,11.7,Perimeter
326,Antonio Daniels,1997,Bowling Green State University,14.6,Perimeter
327,Randy Livingston,1996,Louisiana State University,10,Perimeter
328,Markieff Morris,2011,University of Kansas,14.1,Interior
329,Chris Bosh,2003,Georgia Institute of Technology,20.6,Interior
330,Keon Clark,1998,"University of Nevada, Las Vegas",15.4,Interior
331,Jared Dudley,2007,Boston College,12.7,Perimeter
332,A.J. Price,2009,University of Connecticut,12.2,Perimeter
333,David West,2003,Xavier University,18.6,Perimeter
334,Ronny Turiaf,2005,Gonzaga University,13.8,Interior
335,Paul Pierce,1998,University of Kansas,19.7,Perimeter
336,Andre Roberson,2013,University of Colorado,9.8,Perimeter
337,Xavier Henry,2010,University of Kansas,9.3,Perimeter
338,O.J. Mayo,2008,University of Southern California,13.4,Perimeter
339,Walter McCarty,1996,University of Kentucky,10.1,Perimeter
340,Jabari Parker,2014,Duke University,16.1,Interior
341,Jamaal Tinsley,2001,Iowa State University,13.6,Perimeter
342,Mason Plumlee,2013,Duke University,17.9,Interior
343,Festus Ezeli,2012,Vanderbilt University,13.4,Interior
344,Paul George,2010,"California State University, Fresno",19.1,Perimeter
345,Michael Carter-Williams,2013,Syracuse University,13.7,Perimeter
346,Luc Mbah a Moute,2008,"University of California, Los Angeles",10.7,Perimeter
347,Todd MacCulloch,1999,University of Washington,16.9,Interior
348,Marcus Morris,2011,University of Kansas,13.3,Interior
349,Aaron Brooks,2007,University of Oregon,13.3,Perimeter
350,Cuttino Mobley,1998,University of Rhode Island,14.4,Perimeter
351,Mark Blount,1997,University of Pittsburgh,12.5,Interior
