MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
31.7,5.4,10.1,0.537,4.9,8.6,0.569,0.5,1.5,0.353,4.3,5.9,0.74,1.842602041,4.091326531,8.4,2.1,0.9,1.9,2.9,2.3,15.7,3.23,0.61,0.563,0.148,0.582,11.93196481,15.44281525,2.760703812,19,24.32961877,13.3,10,23.3,0.235
26.2,4.9,9.6,0.511,4.8,9.3,0.516,0.1,0.3,0,4.4,5.3,0.831,2.1,5.1,6.3,1.8,1.1,0.7,2.8,3.3,14.3,9.46,0.591,0.516,0.028,0.556,11.93196481,15.44281525,2.760703812,18.6,24.32961877,11.3,8,19.3,0.227
25.9,3.7,6.4,0.578,3.7,6.4,0.578,0,0,0,1.9,3.4,0.559,3.1,3.8,7,0.8,0.5,2.2,1.3,1.9,9.3,7.32,0.58,0.578,0,0.528,13.4,4.6,4.7,14.2,15.7,5.1,9.1,14.2,0.213
32.2,4.4,8.2,0.534,4.2,7.7,0.549,0.1,0.5,0.288,1.6,2.4,0.671,3,5.5,8.5,2.1,0.5,1.6,1.4,2.5,10.5,4.24,0.562,0.542,0.06,0.293,16.5,14.3,5,13,19.3,9.5,9.7,19.2,0.176
27.8,4.3,10.4,0.416,3,6.1,0.489,1.3,4.3,0.312,3.2,4,0.786,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2,4.24,0.534,0.48,0.411,0.387,11.93196481,15.44281525,2.760703812,15.4,24.32961877,1.7,3.7,5.3,0.213
20.1,3.2,5.2,0.617,3.2,5.2,0.617,0,0,0,1.5,3.4,0.437,1.9,4.1,6,0.4,0.2,1.3,1.6,1.9,7.9,7.46,0.58,0.617,0,0.65,11.93196481,15.44281525,2.760703812,19.2,24.32961877,1.6,2.8,4.4,0.249
24.6,4,6.8,0.586,4,6.8,0.589,0,0,0,1.9,3.2,0.6,2.2,3.4,4.7,0.4,0.2,2,1.6,2.2,9.9,7.92,0.594,0.586,0.005,0.465,11.93196481,15.44281525,2.760703812,16.1,24.32961877,3.8,4,7.9,0.203
22.2,3.9,7.8,0.491,3.7,7.5,0.496,0.2,0.4,0.404,3.5,4.5,0.784,1.842602041,4.091326531,6.7,0.6,0.5,0.9,1.5,1.8,11.4,5.42,0.571,0.501,0.05,0.577,11.93196481,15.44281525,2.760703812,14.2,24.32961877,7.9,7.5,15.4,0.168
32.6,5.3,9.8,0.543,5.2,9.3,0.558,0.1,0.5,0.273,3.7,5.5,0.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,9.26,0.585,0.55,0.052,0.565,15.5,20.7,4.4,19,24.7,6,4.5,10.5,0.198
27.2,3.3,7,0.472,3.2,6.6,0.485,0.1,0.4,0.289,1.6,2.5,0.649,2.5,3.8,6.3,1.5,0.8,2.8,1.5,2.2,8.4,7.6,0.511,0.481,0.062,0.357,13.4,10.9,9.2,15.1,18.3,3.7,7.1,10.8,0.154
