Player,Draft_Yr,College,Career_PER
Jerryd Bayless,2008,University of Arizona,12.2
Quentin Richardson,2000,DePaul University,12.9
Kris Humphries,2004,University of Minnesota,15.4
Greg Oden,2007,Ohio State University,18.7
Hasheem Thabeet,2009,University of Connecticut,10.3
James Jones,2003,University of Miami,11.3
Charlie Villanueva,2005,University of Connecticut,16
Kyle Anderson,2014,"University of California, Los Angeles",13.6
Sam Young,2009,University of Pittsburgh,11.5
Raef LaFrentz,1998,University of Kansas,16.1
Royal Ivey,2004,University of Texas at Austin,8.4
Travis Knight,1996,University of Connecticut,11.4
Jameer Nelson,2004,Saint Joseph's University,14.4
Jason Kapono,2003,"University of California, Los Angeles",10.5
Jamaal Magloire,2000,University of Kentucky,13.5
Eduardo Najera,2000,University of Oklahoma,12
Perry Jones,2012,Baylor University,8.5
Shane Larkin,2013,University of Miami,11.4
Justin Hamilton,2012,Louisiana State University,13.9
Cody Zeller,2013,Indiana University,15.5
Trenton Hassell,2001,Austin Peay State University,8.4
Mike Muscala,2013,Bucknell University,13.5
Shabazz Napier,2014,University of Connecticut,12.7
Courtney Alexander,2000,"California State University, Fresno",11.5
Ryan Bowen,1998,University of Iowa,10.5
Avery Bradley,2010,University of Texas at Austin,11.3
Dwight Powell,2014,Stanford University,18.3
Steve Francis,1999,University of Maryland,18.3
Metta World Peace,1999,St. John's University,14.8
Rashad McCants,2005,University of North Carolina,12.9
Acie Law,2007,Texas A&M University,9.9
Jimmer Fredette,2011,Brigham Young University,12.6
Gorgui Dieng,2013,University of Louisville,16
Trevor Booker,2010,Clemson University,15
Iman Shumpert,2011,Georgia Institute of Technology,9.9
Antawn Jamison,1998,University of North Carolina,18.1
Dwyane Wade,2003,Marquette University,23.6
Derrick Favors,2010,Georgia Institute of Technology,18.8
Marc Jackson,1997,Temple University,14.1
David Harrison,2004,University of Colorado,10.9
Eric Washington,1997,University of Alabama,9.5
Jon Leuer,2011,University of Wisconsin,14.5
Ricky Davis,1998,University of Iowa,14.7
Francisco Elson,1999,University of California,10
Aaron Gray,2007,University of Pittsburgh,11.5
Keith Bogans,2003,University of Kentucky,9.6
Mark Pope,1996,University of Kentucky,6.4
Trevor Ariza,2004,"University of California, Los Angeles",13.3
Luke Walton,2003,University of Arizona,11.7
Elton Brand,1999,Duke University,20.5
Brian Skinner,1998,Baylor University,12
Tim Thomas,1997,Villanova University,14
Danny Granger,2005,University of New Mexico,16.9
Kelly Olynyk,2013,Gonzaga University,16
Julian Wright,2007,University of Kansas,12.8
Mike Scott,2012,University of Virginia,13.5
Larry Hughes,1998,Saint Louis University,14.9
Dion Glover,1999,Georgia Institute of Technology,12.8
Rajon Rondo,2006,University of Kentucky,16.2
Michael Olowokandi,1998,University of the Pacific,10.7
Khris Middleton,2012,Texas A&M University,15.5
Hanno Mottola,2000,University of Utah,8.1
Von Wafer,2005,Florida State University,11.8
Wilson Chandler,2007,DePaul University,13.1
Zach LaVine,2014,"University of California, Los Angeles",14.8
Dan Dickau,2002,Gonzaga University,12.9
Scott Padgett,1999,University of Kentucky,12.9
