,Player,School,MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40,,Career_PER,,,,,,,,,
82,Hakim Warrick,Syracuse,31,10.6,0.536,5.6,0.1,0.3,3.9,5.9,2.9,1,0.9,2.3,15.4,0.539,12.8,10.4,10.8,10,0.199,,15.5,,,,,,,,,
83,Derrick Rose,Memphis,29.2,10.9,0.477,4.3,0.9,2.6,3.7,5.1,1.4,1.2,0.4,2.7,14.9,0.517,8.3,30.4,2.8,3.8,0.226,,18.1,,,,,,,,,
84,John Salmons,Miami (FL),30.8,7.7,0.466,2.9,0.7,2.2,2.5,3.1,2,1.5,0.7,2.6,10.4,0.511,9.6,36.1,7.1,9.2,0.171,,12.1,,,,,,,,,
85,Jay Williams,Duke,33.1,14.6,0.453,3.7,2.9,7.4,3.1,4.7,0.8,2.2,0.1,3.9,19.3,0.552,11.93196481,15.44281525,10.3,7.2,0.197,,12.2,,,,,,,,,
86,Meyers Leonard,Illinois,19.8,5.4,0.567,3,0,0.2,1.6,2.2,1.3,0.3,1.1,1.4,7.7,0.569,15.4,8.5,2.7,2.2,0.149,,12.2,,,,,,,,,
87,Dan Gadzuric,UCLA,24.1,8.2,0.548,4.5,0,0,1.6,3.5,2.9,0.7,1.5,1.8,10.5,0.548,16.9,5.4,4.6,7.9,0.169,,14.4,,,,,,,,,
88,Kenneth Faried,Morehead State,29.1,10.1,0.569,5.7,0,0.1,3.2,5.6,4.4,1.7,1.8,2.2,14.8,0.57,25.8,6,11.8,12.4,0.245,,19.8,,,,,,,,,
89,Jerome Williams,Georgetown,28.8,7.4,0.544,4,0,0.3,2.5,3.9,1.842602041,1.6,0.4,2.3,10.5,0.547,11.93196481,15.44281525,2.4,3.4,0.12,,15.9,,,,,,,,,
90,Chandler Parsons,Florida,27.9,7.8,0.477,2.6,1.1,3.2,1.7,2.8,1.9,0.9,0.3,1.6,10.2,0.546,13,19.1,8.4,7.2,0.157,,14.7,,,,,,,,,
91,Tristan Thompson,North Texas,25.5,8.2,0.439,2.2,1.4,3.6,4.1,5,0.6,0.6,0.1,1.7,12.7,0.526,6.4,11.2,10,3,0.159,,15.4,,,,,,,,,
92,Will Barton,Memphis,32.9,12,0.471,4.6,1.1,3.6,2.7,3.7,1.7,1.5,0.6,2.3,15.2,0.517,11.9,18.4,5.9,4.2,0.176,,14.7,,,,,,,,,
93,Francisco Garcia,Louisville,28.1,10.5,0.448,2.9,1.8,5,3.2,3.7,1.2,1.5,1.4,2.4,14.4,0.535,7.6,28.9,8.4,9.6,0.261,,12.3,,,,,,,,,
