Draft_Yr,Player,College,Career_PER
1977,Rickey Green,University of Michigan,15.3
1977,Norm Nixon,Duquesne University,15.3
1964,Mel Counts,Oregon State University,15.3
1998,Matt Harpring,Georgia Institute of Technology,15.3
2014,Jordan Clarkson,University of Missouri,15.3
1985,Joe Dumars,McNeese State University,15.3
1994,Jalen Rose,University of Michigan,15.3
1997,Derek Anderson,University of Kentucky,15.3
1981,Buck Williams,University of Maryland,15.3
2005,Brandon Bass,Louisiana State University,15.3
1979,Vinnie Johnson,Baylor University,15.2
1954,Togo Palazzi,College of the Holy Cross,15.2
1989,Pervis Ellison,University of Louisville,15.2
1992,Oliver Miller,University of Arkansas,15.2
1980,Michael Brooks,La Salle University,15.2
1992,Matt Geiger,Georgia Institute of Technology,15.2
1967,Louie Dampier,University of Kentucky,15.2
1965,Jim Fox,University of South Carolina,15.2
1983,Jeff Malone,Mississippi State University,15.2
1966,Jack Marin,Duke University,15.2
2014,Elfrid Payton,University of Louisiana at Lafayette,15.2
1974,Earl Williams,Winston-Salem State University,15.2
1991,Dale Davis,Clemson University,15.2
1967,Clem Haskins,Western Kentucky University,15.2
2016,Buddy Hield,University of Oklahoma,15.2
1974,Brian Winters,University of South Carolina,15.2
1997,Bobby Jackson,University of Minnesota,15.2
1979,Bill Cartwright,University of San Francisco,15.2
2014,Aaron Gordon,University of Arizona,15.2
1968,Zaid Abdul-Aziz,Iowa State University,15.1
1958,Wayne Embry,Miami University,15.1
1984,Vern Fleming,University of Georgia,15.1
1977,Toby Knight,University of Notre Dame,15.1
2003,T.J. Ford,University of Texas at Austin,15.1
1983,Steve Stipanovich,University of Missouri,15.1
1985,Spud Webb,North Carolina State University,15.1
1989,Sherman Douglas,Syracuse University,15.1
1982,Quintin Dailey,University of San Francisco,15.1
2003,Mike Sweetney,Georgetown University,15.1
1977,Mike Glenn,Southern Illinois University,15.1
1992,Latrell Sprewell,University of Alabama,15.1
1990,Jayson Williams,St. John's University,15.1
2000,Jamal Crawford,University of Michigan,15.1
1981,Gene Banks,Duke University,15.1
1979,Edgar Jones,"University of Nevada, Reno",15.1
1992,Don MacLean,"University of California, Los Angeles",15.1
1982,Derek Smith,University of Louisville,15.1
1988,Chris Morris,Auburn University,15.1
2010,Trevor Booker,Clemson University,15
2014,Spencer Dinwiddie,University of Colorado,15
1975,Rich Kelley,Stanford University,15
1998,Nazr Mohammed,University of Kentucky,15
1987,Muggsy Bogues,Wake Forest University,15
2003,Mo Williams,University of Alabama,15
1980,Mike Woodson,Indiana University,15
1968,Manny Leaks,Niagara University,15
1964,Mahdi Abdul-Rahman,"University of California, Los Angeles",15
2000,Kenyon Martin,University of Cincinnati,15
1985,Jerry Reynolds,Louisiana State University,15
2002,Caron Butler,University of Connecticut,15
1969,Butch Beard,University of Louisville,15
1950,Bob Lavoy,Western Kentucky University,15
1971,Austin Carr,University of Notre Dame,15
2012,Tyler Zeller,University of North Carolina,14.9
1974,Truck Robinson,Tennessee State University,14.9
2005,Sean May,University of North Carolina,14.9
2007,Rodney Stuckey,Eastern Washington University,14.9
1989,Pooh Richardson,"University of California, Los Angeles",14.9
