Draft_Yr,Player,College
1998,Michael Olowokandi,University of the Pacific
1998,Mike Bibby,University of Arizona
1998,Raef LaFrentz,University of Kansas
1998,Antawn Jamison,University of North Carolina
1998,Vince Carter,University of North Carolina
1998,Robert Traylor,University of Michigan
1998,Jason Williams,University of Florida
1998,Larry Hughes,Saint Louis University
1998,Paul Pierce,University of Kansas
1998,Bonzi Wells,Ball State University
1998,Michael Doleac,University of Utah
1998,Keon Clark,"University of Nevada, Las Vegas"
1998,Michael Dickerson,University of Arizona
1998,Matt Harpring,Georgia Institute of Technology
1998,Bryce Drew,Valparaiso University
1998,Pat Garrity,University of Notre Dame
1998,Roshown McLeod,Duke University
1998,Ricky Davis,University of Iowa
1998,Brian Skinner,Baylor University
1998,Tyronn Lue,University of Nebraska
1998,Felipe Lopez,St. John's University
1998,Corey Benjamin,Oregon State University
1998,Nazr Mohammed,University of Kentucky
1998,Ruben Patterson,University of Cincinnati
1998,Jelani McCoy,"University of California, Los Angeles"
1998,Shammond Williams,University of North Carolina
1998,Jerome James,Florida Agricultural and Mechanical University
1998,Rafer Alston,"California State University, Fresno"
1998,Cuttino Mobley,University of Rhode Island
1998,Jahidi White,Georgetown University
1998,Sean Marks,University of California
1998,Greg Buckner,Clemson University
1998,Ryan Bowen,University of Iowa
1997,Tim Duncan,Wake Forest University
1997,Keith Van Horn,University of Utah
1997,Chauncey Billups,University of Colorado
1997,Antonio Daniels,Bowling Green State University
1997,Tony Battie,Texas Tech University
1997,Ron Mercer,University of Kentucky
1997,Tim Thomas,Villanova University
1997,Adonal Foyle,Colgate University
1997,Danny Fortson,University of Cincinnati
1997,Tariq Abdul-Wahad,San Jose State University
1997,Austin Croshere,Providence College
1997,Derek Anderson,University of Kentucky
1997,Maurice Taylor,University of Michigan
1997,Kelvin Cato,Iowa State University
1997,Brevin Knight,Stanford University
1997,Scot Pollard,University of Kansas
1997,Anthony Parker,Bradley University
1997,Bobby Jackson,University of Minnesota
1997,John Thomas,University of Minnesota
1997,Charles Smith,University of New Mexico
1997,Jacque Vaughn,University of Kansas
1997,Marc Jackson,Temple University
1997,Anthony Johnson,College of Charleston
1997,Stephen Jackson,Butler County Community College
1997,Cedric Henderson,University of Memphis
1997,Eric Washington,University of Alabama
1997,Alvin Williams,Villanova University
1997,Chris Crawford,Marquette University
1997,Mark Blount,University of Pittsburgh
1996,Allen Iverson,Georgetown University
1996,Marcus Camby,University of Massachusetts Amherst
1996,Shareef Abdur-Rahim,University of California
1996,Stephon Marbury,Georgia Institute of Technology
1996,Ray Allen,University of Connecticut
1996,Antoine Walker,University of Kentucky
1996,Lorenzen Wright,University of Memphis
1996,Kerry Kittles,Villanova University
1996,Samaki Walker,University of Louisville
1996,Erick Dampier,Mississippi State University
1996,Todd Fuller,North Carolina State University
1996,Vitaly Potapenko,Wright State University
1996,Steve Nash,Santa Clara University
1996,Tony Delk,University of Kentucky
1996,John Wallace,Syracuse University
1996,Walter McCarty,University of Kentucky
1996,Roy Rogers,University of Alabama
1996,Derek Fisher,University of Arkansas at Little Rock
1996,Jerome Williams,Georgetown University
1996,Travis Knight,University of Connecticut
1996,Othella Harrington,Georgetown University
1996,Mark Hendrickson,Washington State University
1996,Moochie Norris,University of West Florida
1996,Jeff McInnis,University of North Carolina
1996,Randy Livingston,Louisiana State University
1996,Malik Rose,Drexel University
1996,Jamie Feick,Michigan State University
1996,Mark Pope,University of Kentucky
1996,Shandon Anderson,University of Georgia
1995,Joe Smith,University of Maryland
1995,Antonio McDyess,University of Alabama
1995,Jerry Stackhouse,University of North Carolina
1995,Rasheed Wallace,University of North Carolina
1995,Bryant Reeves,Oklahoma State University
1995,Damon Stoudamire,University of Arizona
1995,Shawn Respert,Michigan State University
1995,Ed O'Bannon,"University of California, Los Angeles"
1995,Kurt Thomas,Texas Christian University
1995,Gary Trent,Ohio University
1995,Cherokee Parks,Duke University
1995,Corliss Williamson,University of Arkansas
1995,Eric Williams,Providence College
1995,Brent Barry,Oregon State University
1995,Alan Henderson,Indiana University
1995,Bob Sura,Florida State University
1995,Theo Ratliff,University of Wyoming
1995,Jason Caffey,University of Alabama
1995,Michael Finley,University of Wisconsin
1995,Travis Best,Georgia Institute of Technology
1995,Loren Meyer,Iowa State University
1995,Greg Ostertag,University of Kansas
1995,Cory Alexander,University of Virginia
1995,Andrew DeClercq,University of Florida
1995,Lawrence Moten,Syracuse University
1995,Eric Snow,Michigan State University
1995,Tyus Edney,"University of California, Los Angeles"
1995,Mark Davis,Texas Tech University
1995,Fred Hoiberg,Iowa State University
1995,Chris Carr,Southern Illinois University
1995,Don Reid,Georgetown University
1994,Glenn Robinson,Purdue University
1994,Jason Kidd,University of California
1994,Grant Hill,Duke University
1994,Donyell Marshall,University of Connecticut
1994,Juwan Howard,University of Michigan
1994,Sharone Wright,Clemson University
1994,Lamond Murray,University of California
1994,Brian Grant,Xavier University
1994,Eric Montross,University of North Carolina
1994,Eddie Jones,Temple University
1994,Carlos Rogers,Tennessee State University
1994,Khalid Reeves,University of Arizona
1994,Jalen Rose,University of Michigan
1994,Eric Piatkowski,University of Nebraska
1994,Clifford Rozier,University of Louisville
1994,Aaron McKie,Temple University
1994,Eric Mobley,University of Pittsburgh
1994,Tony Dumas,University of Missouri-Kansas City
1994,Dickey Simpkins,Providence College
1994,Bill Curley,Boston College
1994,Wesley Person,Auburn University
1994,Monty Williams,University of Notre Dame
1994,Greg Minor,University of Louisville
1994,Charlie Ward,Florida State University
1994,Brooks Thompson,Oklahoma State University
1994,Howard Eisley,Boston College
1994,Jim McIlvaine,Marquette University
1994,Derrick Alston,Duquesne University
1994,Michael Smith,Providence College
1994,Anthony Miller,Michigan State University
1994,Voshon Lenard,University of Minnesota
1994,Lawrence Funderburke,Ohio State University
1994,Anthony Goldwire,University of Houston
1993,Chris Webber,University of Michigan
1993,Shawn Bradley,Brigham Young University
1993,Anfernee Hardaway,University of Memphis
1993,Jamal Mashburn,University of Kentucky
1993,Isaiah Rider,"University of Nevada, Las Vegas"
1993,Calbert Cheaney,Indiana University
1993,Bobby Hurley,Duke University
1993,Vin Baker,University of Hartford
1993,Rodney Rogers,Wake Forest University
1993,Lindsey Hunter,Jackson State University
1993,Allan Houston,University of Tennessee
1993,George Lynch,University of North Carolina
1993,Terry Dehere,Seton Hall University
1993,Rex Walters,University of Kansas
1993,Greg Graham,Indiana University
1993,Acie Earl,University of Iowa
1993,Scott Burrell,University of Connecticut
1993,James Robinson,University of Alabama
1993,Chris Mills,University of Arizona
1993,Ervin Johnson,University of New Orleans
1993,Sam Cassell,Florida State University
1993,Corie Blount,University of Cincinnati
1993,Lucious Harris,"California State University, Long Beach"
1993,Eric Riley,University of Michigan
1993,Nick Van Exel,University of Cincinnati
1993,Bryon Russell,"California State University, Long Beach"
1993,Chris Whitney,Clemson University
1992,Shaquille O'Neal,Louisiana State University
1992,Alonzo Mourning,Georgetown University
1992,Christian Laettner,Duke University
1992,Jim Jackson,Ohio State University
1992,LaPhonso Ellis,University of Notre Dame
1992,Tom Gugliotta,North Carolina State University
1992,Walt Williams,University of Maryland
1992,Todd Day,University of Arkansas
1992,Clarence Weatherspoon,University of Southern Mississippi
1992,Adam Keefe,Stanford University
1992,Robert Horry,University of Alabama
