MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40
23.4,8.5,0.484,3,1.1,2.8,2.3,3.1,1.842602041,0.9,0.3,1.5,11.6,0.547,11.93196481,15.44281525,10,8.2,0.257
30.8,14.3,0.443,5.1,1.3,3.3,4,5.6,2.7,0.7,0.1,1.6,17.9,0.487,9.6,5.8,2.9,0.8,0.149
29.3,13.6,0.43,4.3,1.5,4.4,3.1,4.3,2,0.9,0.4,1.9,16.3,0.487,9.7,8.4,5.6,3.8,0.17
32.5,9.2,0.498,3.7,0.9,2.4,2.8,3.8,1.9,1.5,0.9,1.3,12.8,0.545,14.2,14.9,6.8,5.3,0.231
27.9,9.6,0.548,5.1,0.1,0.3,4.1,5.5,2.6,0.5,1.7,3.1,14.7,0.553,15.5,17.8,8.1,2.4,0.172
29.6,10,0.436,2.8,1.5,4.1,3.6,4.1,0.8,1,0.4,2.2,13.8,0.513,11.93196481,15.44281525,6.4,3.6,0.152
13,5.1,0.487,2.4,0.1,0.3,1.4,2.1,1.842602041,0.6,0.8,1.1,6.5,0.499,11.93196481,15.44281525,1.9,3.7,0.151
33,11.9,0.462,4.3,1.2,3.4,3.6,5.4,1.7,2.4,0.5,2.3,15.7,0.511,8.8,21.5,6.2,7.4,0.184
31.8,12.2,0.47,3.4,2.3,5.5,4.3,5.6,1.1,0.5,0.1,2,18.1,0.566,6.9,20.8,11.3,3.8,0.2
22,7.3,0.444,2.5,0.8,2,2.1,2.9,1.842602041,0.6,0.4,1.5,9.3,0.496,11.93196481,15.44281525,3.8,4.1,0.126
32.8,10.4,0.455,3,1.8,4.4,2,2.6,0.9,0.6,0.3,1.3,13.3,0.539,8,12.6,5.8,2,0.142
29.9,10.5,0.602,6.1,0.2,0.7,5.6,7.9,3,1,0.8,2.9,18.4,0.61,14.7,10.6,9.8,4.3,0.293
32.8,12.6,0.46,3.5,2.2,5.9,4.2,5.2,1.9,1.1,0.6,2.1,17.9,0.549,9,11,11.6,4.4,0.193
32.6,9.3,0.414,2.7,1.1,2.9,3.6,4.8,1.842602041,1.6,0.1,2.4,12.4,0.474,11.93196481,15.44281525,2.1,2.1,0.046
26.2,12.2,0.43,3.1,2.1,5.6,1.9,2.7,1.5,0.8,0.5,1.8,14.5,0.516,11.7,14.2,5.5,3.9,0.205
25,7.2,0.462,3,0.3,1.1,1.8,3.2,1.7,0.6,1.9,2.4,8.7,0.481,12.7,10.5,1.4,6.8,0.153
29,13.6,0.455,5.3,0.9,3.4,3.7,5.2,1.3,2.1,0.8,3.6,17.1,0.489,10.2,30,2.4,4.8,0.268
32,8.4,0.623,5.2,0.1,0.5,3.6,5.1,3,1.4,4.7,1,14.2,0.628,19,7.5,5.9,4.1,0.31
28.9,11.7,0.532,6.2,0,0.1,2.4,3.2,2,0.5,1.7,2.5,14.9,0.533,13.2,14,2,2.4,0.198
29.2,6,0.637,3.8,0,0,2.3,4,3.2,0.3,2.2,1.9,10,0.637,11.93196481,15.44281525,10.6,8.8,0.231
25.7,6.6,0.586,3.9,0,0,2.5,4.1,2.3,0.9,1.7,1.6,10.3,0.586,17,11.6,7,10,0.244
31.5,9.3,0.527,4.1,0.8,2.3,4.7,5.9,1.842602041,2.3,0.7,2.7,15.3,0.568,17.1,9.5,11,8.1,0.252
32.5,11,0.577,6.4,0,0,3,4.6,2.9,0.8,2.9,2.4,15.7,0.578,11.93196481,15.44281525,11.3,9.8,0.209
34.9,13.2,0.482,5.3,1,3.1,3.9,5.7,1.842602041,0.8,1.5,3.4,17.6,0.521,11.93196481,15.44281525,2.9,2.9,0.206
31.3,13.1,0.399,3.6,1.6,4.9,3,3.8,1.4,1.5,0.4,2.9,15,0.461,8.6,23.2,4.7,8.5,0.129
23.6,9.3,0.44,2.9,1.2,3.6,3.2,3.8,1.842602041,0.9,0.6,1.9,12.6,0.505,12.5,9.1,6.2,4.3,0.146
29.3,12.4,0.455,4,1.7,4.4,2.6,3.3,1,1.2,0.2,2.2,15.5,0.523,7.9,19.5,5.1,3,0.172
33.1,8.6,0.567,4.4,0.4,1.1,3.7,5.1,1.842602041,0.8,0.3,2.2,13.9,0.592,11.93196481,15.44281525,2.8,1,0.043
23.7,10.8,0.474,3,2.1,5.4,1.8,2.6,1.842602041,1.5,0.3,1.5,14.2,0.572,11.93196481,15.44281525,4,2.4,0.082
30.4,10.8,0.467,4.5,0.6,1.7,3.4,5.3,2.5,1.2,1.8,1.8,14,0.493,15.1,9.5,6.2,5.5,0.204
31.8,18,0.41,5.5,1.8,5.8,4.6,6.4,0.5,1.2,0.6,2.9,21.2,0.461,11.93196481,15.44281525,1.7,2.4,0.143
33.4,14.5,0.425,4.1,2,5.5,2.2,2.7,1.842602041,2.1,0.2,2.1,16.5,0.495,11.93196481,15.44281525,6.7,5,0.113
32.1,11,0.482,3.8,1.6,4.5,1.9,2.4,1.1,1,0.6,1.6,14.1,0.553,8.2,11.2,6.9,2.9,0.164
28.2,10.8,0.44,4.3,0.5,2.1,2.3,3.5,1.9,0.9,0.2,2.4,12.3,0.462,10.6,19.1,1.4,1.3,0.116
26.7,8.6,0.467,3.5,0.5,1.8,2,3.2,2.1,0.9,1.2,2.1,10.6,0.498,16.1,9.7,3.6,9.8,0.193
28,5.9,0.53,3.1,0,0.1,3.2,5.6,1.842602041,1.2,2.1,2.2,9.4,0.53,11.93196481,15.44281525,5.9,14.3,0.241
34.5,8.9,0.45,3,1,3,2.2,3.3,1.3,1.8,0.4,3.5,11.2,0.508,11.93196481,15.44281525,5.8,6.2,0.131
31,11.5,0.53,5.8,0.3,0.7,4.9,6.7,3.3,1.1,0.8,1.8,17.3,0.541,19.5,8,10.3,5.9,0.282
33,13.1,0.484,4.5,1.8,4.7,4.2,5,2.7,0.5,0.5,1.8,18.7,0.554,17.9,9.7,7.5,2.7,0.188
32.3,8.4,0.478,3.1,0.9,2.6,3.6,4.5,0.4,1.8,0.1,3.3,12.5,0.532,7.6,26.2,8.1,6.1,0.175
31.6,10.1,0.428,3,1.3,3.9,3.6,4.6,2.6,1.3,0.2,2.5,13.6,0.493,11.93196481,15.44281525,5.9,5.2,0.151
21.9,8.7,0.541,4.7,0,0.2,1.8,2.7,2.2,0.7,1.4,1.6,11.3,0.543,13.6,4.7,4.1,6.5,0.247
31.7,10.1,0.537,4.9,0.5,1.5,4.3,5.9,1.842602041,0.9,1.9,2.9,15.7,0.563,11.93196481,15.44281525,13.3,10,0.235
28.9,9.6,0.526,5,0,0,3.3,4.7,3.1,1.3,0.3,2.2,13.4,0.528,15.7,13.8,6.1,7.6,0.218
26.2,9.6,0.511,4.8,0.1,0.3,4.4,5.3,2.1,1.1,0.7,2.8,14.3,0.516,11.93196481,15.44281525,11.3,8,0.227
27.8,10.5,0.483,4.2,0.9,2.4,2.9,4,2.9,1.7,1.1,2.2,13.9,0.524,14,13.4,8.1,10.9,0.215
37.5,14.4,0.399,4.3,1.5,5,2.4,3.9,1.2,2.3,0.2,2,15.4,0.45,6.9,22.6,1.4,11.8,0.113
32.3,12.7,0.423,4.1,1.3,3.9,3.3,4.7,1.842602041,2.3,0.3,3.2,15.3,0.474,11.93196481,15.44281525,5.1,5.4,0.127
31.6,10.3,0.485,4.7,0.3,1.1,3.9,6.5,1.5,2,0.5,3.4,14.3,0.5,9.2,32,6.1,4.9,0.139
32.5,17.5,0.44,5.9,1.8,5.8,5.8,8.5,1.842602041,3.2,0.3,4.1,23,0.492,11.93196481,15.44281525,5.1,3.5,0.158
25.9,6.4,0.578,3.7,0,0,1.9,3.4,3.1,0.5,2.2,1.3,9.3,0.578,13.4,4.6,5.1,9.1,0.213
32.2,8.2,0.534,4.2,0.1,0.5,1.6,2.4,3,0.5,1.6,1.4,10.5,0.542,16.5,14.3,9.5,9.7,0.176
29.1,11,0.483,3.5,1.9,4.7,2.4,3,1.842602041,2.1,0.3,2.7,14.9,0.567,11.93196481,15.44281525,4.3,1.3,0.137
30.1,14.7,0.447,4.8,1.8,4.7,2.9,3.9,1.842602041,1.7,0.5,2,17.9,0.508,11.93196481,15.44281525,9,7.4,0.2
27.8,10.4,0.416,3,1.3,4.3,3.2,4,1.7,1.4,1.4,2.3,13.2,0.48,11.93196481,15.44281525,1.7,3.7,0.213
30.7,11.2,0.449,3.9,1.1,3,3.9,4.9,0.5,1.3,0.2,2.4,15,0.498,6.4,36.3,9.8,7.9,0.177
37.4,14.3,0.457,4.1,2.4,6.6,3.4,4.6,1.842602041,1.8,0.1,3.2,18.9,0.543,11.93196481,15.44281525,3.5,0.8,0.127
20.1,5.2,0.617,3.2,0,0,1.5,3.4,1.9,0.2,1.3,1.6,7.9,0.617,11.93196481,15.44281525,1.6,2.8,0.249
36.5,12.2,0.46,4.2,1.4,4.2,4,5.1,0.6,1.5,0.2,3.1,16.6,0.516,4.1,26.8,5.9,2.7,0.129
