FG,FG%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,BLK,PTS,PER,TS%,eFG%,FTr,TRB%,BLK%,USG%,WS/40
4.8,0.58,4.8,8.2,0.58,2.9,4.6,2.9,5.6,8.5,2.4,12.4,22.9,0.597,0.58,0.557,14.8,5.5,19.2,0.215
5.7,0.399,4.3,9.4,0.457,2.4,3.9,1.2,3.3,4.6,0.2,15.4,22.9,0.473,0.45,0.268,6.9,0.6,26.1,0.113
4,0.467,3.5,6.8,0.512,2,3.2,2.1,4.9,7,1.2,10.6,22.9,0.524,0.498,0.366,16.1,4.3,22.7,0.193
5.7,0.478,4.5,8.9,0.498,1.7,2.3,2.3,2.5,4.9,0.4,14.4,22.9,0.552,0.531,0.189,12,2.848859935,24.24136808,0.145
3.4,0.441,2.1,4.3,0.494,1.3,1.8,0.5,2.1,2.5,0.2,9.4,14.6,0.545,0.524,0.236,6.1,0.8,20.1,0.111
4.3,0.457,3.2,6.3,0.503,2.5,3,1,2.4,3.4,0.1,12.2,22.9,0.565,0.518,0.319,7.7,0.3,23.8,0.128
5.5,0.425,3.8,7.9,0.487,3.2,3.9,1,3.8,4.8,0.3,16,22.9,0.537,0.49,0.3,7.6,0.7,26,0.153
6.1,0.432,3.5,7.3,0.473,2.9,3.6,0.7,2.2,2.9,0.7,17.8,22.9,0.562,0.526,0.251,5.7,1.5,31,0.175
5.4,0.449,4.8,9.7,0.497,2.8,3.7,3.3,6.9,10.2,0.6,14.1,25,0.513,0.473,0.312,19,2.2,26,0.211
5.8,0.484,4.8,9.2,0.518,3,3.9,1.7,3.3,5.1,0.3,15.5,22.9,0.563,0.525,0.326,11.6,0.5,27.1,0.146
5.8,0.533,4.7,8.1,0.587,3.5,5.1,2.5,5.7,8.1,1.2,16.1,28.3,0.609,0.58,0.467,17.1,4.6,27.5,0.238
7.9,0.55,6,10.2,0.587,4.1,4.9,1.9,5.6,7.5,0.1,21.7,30.2,0.652,0.616,0.345,14.8,0.3,32.3,0.235
5.8,0.46,3.5,6.6,0.536,4.2,5.2,1.9,3.1,5.1,0.6,17.9,22.9,0.596,0.549,0.416,9,1.6,26.3,0.193
5.6,0.529,4.7,8.3,0.565,4.8,6.1,1.9,3.8,5.8,0.3,17,22.9,0.628,0.574,0.575,11,0.7,25.8,0.217
5,0.457,3.6,6.9,0.523,3,3.7,1.6,2.3,3.9,0.1,14.4,22.9,0.566,0.523,0.342,7.8,0.2,23.7,0.149
4.5,0.458,2.6,5.3,0.492,2.5,3.2,1.2,3.2,4.4,0.5,13.4,22.9,0.591,0.555,0.325,8.6,1.8,23.4,0.197
6,0.455,3.9,7.8,0.497,4.5,5.1,0.5,2.1,2.6,0.1,18.7,30.7,0.596,0.535,0.386,5,0.3,30.5,0.223
3.8,0.538,3.7,6.8,0.548,2.2,3.3,2.4,4.5,7,2.1,9.7,22.1,0.569,0.539,0.476,16.5,8.6,20.7,0.165
4.8,0.45,2.5,5.2,0.483,3.6,4.5,0.6,2.2,2.8,0.1,15.5,22.9,0.606,0.558,0.42,5.9,0.3,26.7,0.21
5.7,0.513,5.7,11.1,0.519,4.3,6,3.5,6.5,10,1.2,15.8,22.9,0.562,0.513,0.532,19.7,2.9,26.7,0.229
3.5,0.453,2.5,4.9,0.513,1.8,2.3,0.4,1.5,1.9,0.2,9.7,23.3,0.551,0.516,0.303,5.5,1.3,25,0.198
6.5,0.48,5.4,11,0.494,5.2,5.8,2,6.2,8.1,0.8,19.4,22.9,0.591,0.52,0.424,13.4,1.9,26.8,0.202
5.1,0.559,5,8.6,0.574,2.4,3.9,3,4.9,7.9,1.9,12.9,22.9,0.584,0.569,0.428,16.4,4.8,23.3,0.25
