G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
109,100,25.7,3.9,6.6,0.586,3.9,6.6,0.589,0,0,0,2.5,4.1,0.619,2.3,5.6,7.9,1.7,0.9,1.7,1.6,2.5,10.3,6.65,22.9,0.601,0.586,0.006,0.613,17,11.6,4.9,15.6,18.6,7,10,17.1,0.244
69,69,33.1,4.3,9.2,0.47,2.6,4.6,0.569,1.7,4.6,0.369,4.1,4.9,0.824,1.7,5.7,7.4,1.8,1.3,0.9,2,2.1,14.4,3.57,22.9,0.624,0.562,0.495,0.536,14.1,12.9,2.7,14.8,22.3,7.9,6.3,14.2,0.249
105,104,30.4,5.3,12.4,0.426,3.7,7.6,0.49,1.6,4.8,0.325,4.3,6,0.713,0.7,2.8,3.5,4,1.2,0.1,2.7,2,16.4,7.81,21.5,0.538,0.489,0.388,0.484,6.5,26.2,0.2,14.8,26.6,8.5,4.7,13.2,0.165
76,69,30.4,5,10.8,0.467,4.5,9.1,0.493,0.6,1.7,0.328,3.4,5.3,0.638,2.5,5.5,8,1.5,1.2,1.8,1.8,2.4,14,8.42,24.9,0.526,0.493,0.156,0.489,15.1,9.5,5.9,11.9,25.4,6.2,5.5,11.8,0.204
97,94,29.2,3.2,7.6,0.417,2.9,6.7,0.43,0.3,0.8,0.313,2.2,3,0.74,1,3.2,4.2,4.9,1.2,0.1,2.6,1.3,8.8,2.12,22.9,0.488,0.434,0.109,0.392,8.2,31,0.3,22.2,19.9,1.3,5.9,7.2,0.102
142,141,30.9,6.6,12.3,0.536,6.5,12.1,0.541,0.1,0.3,0,6.9,8.7,0.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,8.39,22.9,0.613,0.539,0.022,0.708,15.1,6.2,1,11.3,27.2,17.2,11.3,28.5,0.26
64,63,33.1,4.9,11.9,0.413,3.5,7.3,0.488,1.4,4.6,0.295,5.5,7.3,0.751,1.5,4.4,5.9,4.5,2.9,0.6,3,2.9,16.6,7.53,25.4,0.542,0.47,0.388,0.612,10.3,28.4,2.1,16.4,28.2,5.6,5.4,11,0.207
140,127,32.2,4.1,10.3,0.4,2.7,6,0.457,1.4,4.4,0.32,1.5,2.6,0.589,1.5,5.5,6.9,3.9,1.5,0.6,2.4,1.9,11.2,7.65,22.9,0.484,0.467,0.422,0.254,11,21.4,1.3,16.9,20.6,1.9,13.5,15.3,0.136
34,32,28.2,4.8,10.8,0.44,4.3,8.7,0.495,0.5,2.1,0.219,2.3,3.5,0.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,8.45,22.9,0.493,0.462,0.198,0.323,10.6,19.1,0.7,16,26.2,1.4,1.3,2.8,0.116
89,56,26.8,5.1,10.3,0.489,3.8,7,0.544,1.3,3.4,0.377,2.5,3,0.831,1,3.2,4.2,3,1.4,0.2,2,1.9,13.9,4,22.9,0.59,0.551,0.326,0.29,12,15.2,2.848859935,14.4,24.24136808,7.8,5.1,12.9,0.216
